location_id,sku_id,assorted,mrp_minor,selling_price_minor,unit_cogs_minor,unit_variable_cost_minor,on_hand_quantity,safety_buffer
"loc_qm_koramangala","QM-SNK-0001-A","true","4800","4400","2882","440","9","8"
"loc_qm_bellandur","QM-SNK-0001-B","true","7840","7300","4782","511","48","8"
"loc_qm_bellandur","QM-SNK-0002-A","true","5000","4750","2993","333","24","7"
"loc_qm_indiranagar","QM-SNK-0002-A","true","4600","4250","2465","425","29","5"
"loc_qm_koramangala","QM-SNK-0002-B","true","8240","7850","4946","550","24","7"
"loc_qm_indiranagar","QM-SNK-0002-B","true","8340","7750","4495","543","22","5"
"loc_qm_bellandur","QM-SNK-0003-A","true","5100","4750","2755","333","22","5"
"loc_qm_indiranagar","QM-SNK-0003-A","true","4900","4600","2668","368","15","5"
"loc_qm_koramangala","QM-SNK-0003-B","true","8140","7750","5076","698","34","8"
"loc_qm_bellandur","QM-SNK-0004-A","true","4500","4100","2686","287","20","8"
"loc_qm_bellandur","QM-SNK-0004-B","true","8140","7550","4757","529","42","7"
"loc_qm_indiranagar","QM-SNK-0004-B","true","8240","7500","4350","525","40","5"
"loc_qm_bellandur","QM-SNK-0005-A","true","4600","4350","2632","305","18","6"
"loc_qm_indiranagar","QM-SNK-0005-A","true","4800","4400","2552","352","33","5"
"loc_qm_koramangala","QM-SNK-0005-B","true","7940","7550","4379","680","8","5"
"loc_qm_indiranagar","QM-SNK-0005-B","true","7840","7300","4234","657","26","5"
"loc_qm_koramangala","QM-SNK-0006-A","true","5000","4600","3013","368","13","8"
"loc_qm_bellandur","QM-SNK-0006-B","true","8340","7900","5175","553","38","8"
"loc_qm_koramangala","QM-SNK-0007-A","true","4900","4500","3060","450","23","9"
"loc_qm_indiranagar","QM-SNK-0007-A","true","4700","4250","2465","340","5","5"
"loc_qm_bellandur","QM-SNK-0007-B","true","7740","7200","4356","504","36","6"
"loc_qm_indiranagar","QM-SNK-0007-B","true","7740","7050","4089","635","44","5"
"loc_qm_bellandur","QM-SNK-0008-A","true","4900","4650","2697","326","12","5"
"loc_qm_indiranagar","QM-SNK-0008-A","true","5000","4600","2668","460","37","5"
"loc_qm_koramangala","QM-SNK-0008-B","true","8340","7900","5175","553","38","8"
"loc_qm_bellandur","QM-SNK-0009-A","true","5000","4650","3046","326","10","8"
"loc_qm_bellandur","QM-SNK-0009-B","true","7940","7550","4757","529","32","7"
"loc_qm_indiranagar","QM-SNK-0009-B","true","8340","7900","4582","711","16","5"
"loc_qm_koramangala","QM-SNK-0010-A","true","4600","4250","2678","340","7","7"
"loc_qm_indiranagar","QM-SNK-0010-A","true","4900","4400","2552","440","9","5"
"loc_qm_bellandur","QM-SNK-0010-B","true","8040","7500","4350","525","30","5"
"loc_qm_indiranagar","QM-SNK-0010-B","true","7940","7250","4205","508","48","5"
"loc_qm_koramangala","QM-SNK-0011-A","true","4500","4150","2718","415","17","8"
"loc_qm_bellandur","QM-SNK-0011-B","true","8140","7400","4847","518","28","8"
"loc_qm_bellandur","QM-SNK-0012-A","true","4600","4300","2709","301","4","7"
"loc_qm_indiranagar","QM-SNK-0012-A","true","4800","4500","2610","450","27","5"
"loc_qm_bellandur","QM-SNK-0012-B","true","8240","7850","4749","550","26","6"
"loc_qm_indiranagar","QM-SNK-0012-B","true","7840","7450","4321","522","20","5"
"loc_qm_koramangala","QM-SNK-0013-A","true","5000","4600","2668","460","37","5"
"loc_qm_indiranagar","QM-SNK-0013-A","true","5100","4600","2668","368","13","5"
"loc_qm_koramangala","QM-SNK-0013-B","true","7840","7450","4880","671","42","8"
"loc_qm_bellandur","QM-SNK-0014-A","true","4800","4550","2980","319","46","8"
"loc_qm_koramangala","QM-SNK-0014-B","true","7740","7350","4998","515","6","9"
"loc_qm_indiranagar","QM-SNK-0014-B","true","7740","7200","4176","504","38","5"
"loc_qm_bellandur","QM-SNK-0015-A","false","4900","4550","2753","319","0","6"
"loc_qm_indiranagar","QM-SNK-0015-A","false","5000","4700","2726","376","0","5"
"loc_qm_bellandur","QM-SNK-0015-B","true","7840","7450","4321","522","20","5"
"loc_qm_indiranagar","QM-SNK-0015-B","true","8040","7650","4437","689","24","5"
"loc_qm_koramangala","QM-SNK-0016-A","true","4700","4300","2817","344","21","8"
"loc_qm_bellandur","QM-SNK-0016-B","true","7940","7400","4847","518","18","8"
"loc_qm_bellandur","QM-SNK-0017-A","true","5100","4850","3056","340","40","7"
"loc_qm_indiranagar","QM-SNK-0017-A","true","4900","4500","2610","360","49","5"
"loc_qm_koramangala","QM-SNK-0017-B","true","8140","7750","4883","698","36","7"
"loc_qm_indiranagar","QM-SNK-0017-B","true","7940","7400","4292","666","42","5"
"loc_qm_bellandur","QM-SNK-0018-A","true","4500","4200","2436","294","38","5"
"loc_qm_indiranagar","QM-SNK-0018-A","true","4500","4250","2465","425","35","5"
"loc_qm_koramangala","QM-SNK-0018-B","true","8040","7650","5011","536","46","8"
"loc_qm_bellandur","QM-SNK-0019-A","true","4600","4200","2751","294","36","8"
"loc_qm_bellandur","QM-SNK-0019-B","true","8240","7650","4820","536","12","7"
"loc_qm_indiranagar","QM-SNK-0019-B","true","7840","7150","4147","644","14","5"
"loc_qm_bellandur","QM-SNK-0020-A","true","4700","4450","2692","312","34","6"
"loc_qm_indiranagar","QM-SNK-0020-A","true","5100","4700","2726","470","7","5"
"loc_qm_koramangala","QM-SNK-0020-B","true","7840","7450","4321","522","20","5"
"loc_qm_indiranagar","QM-SNK-0020-B","true","8140","7550","4379","529","46","5"
"loc_qm_koramangala","QM-SNK-0021-A","true","4900","4500","2948","450","25","8"
"loc_qm_bellandur","QM-SNK-0021-B","true","7740","7350","4814","515","8","8"
"loc_qm_koramangala","QM-SNK-0022-A","true","4800","4400","2992","352","35","9"
"loc_qm_indiranagar","QM-SNK-0022-A","true","5000","4500","2610","450","25","5"
"loc_qm_bellandur","QM-SNK-0022-B","true","7840","7300","4417","511","6","6"
"loc_qm_indiranagar","QM-SNK-0022-B","true","8040","7300","4234","511","18","5"
"loc_qm_bellandur","QM-SNK-0023-A","true","5000","4750","2755","333","28","5"
"loc_qm_indiranagar","QM-SNK-0023-A","true","4600","4250","2465","340","11","5"
"loc_qm_koramangala","QM-SNK-0023-B","true","8240","7850","5142","707","4","8"
"loc_qm_bellandur","QM-SNK-0024-A","true","5100","4750","3111","333","26","8"
"loc_qm_bellandur","QM-SNK-0024-B","true","8040","7650","4820","536","48","7"
"loc_qm_indiranagar","QM-SNK-0024-B","true","7940","7550","4379","529","36","5"
