order_id,sku_id,quantity,price_paid_minor
ord_qm_001,QM-BEV-0052-A,2,6600
ord_qm_001,QM-FPR-0061-A,1,5650
ord_qm_002,QM-BEV-0052-A,2,6600
ord_qm_002,QM-FPR-0061-A,1,5650
ord_qm_002,QM-BEV-0047-A,1,3400
ord_qm_003,QM-SNK-0011-A,1,4150
ord_qm_003,QM-BEV-0031-A,1,3300
ord_qm_004,QM-BEV-0052-A,2,6600
ord_qm_004,QM-FPR-0061-A,1,5650
ord_qm_005,QM-BEV-0052-A,2,6600
ord_qm_005,QM-FPR-0061-A,1,5650
ord_qm_006,QM-SNK-0011-A,1,4150
ord_qm_006,QM-BEV-0031-A,1,3300
ord_qm_007,QM-BEV-0052-A,2,6600
ord_qm_007,QM-FPR-0061-A,1,5650
ord_qm_007,QM-BEV-0047-A,1,3400
ord_qm_008,QM-BEV-0052-A,2,6600
ord_qm_008,QM-FPR-0061-A,1,5650
ord_qm_009,QM-SNK-0011-A,1,4150
ord_qm_009,QM-BEV-0031-A,1,3300
ord_qm_010,QM-BEV-0052-A,2,6600
ord_qm_010,QM-FPR-0061-A,1,5650
ord_qm_011,QM-BEV-0052-A,2,6600
ord_qm_011,QM-FPR-0061-A,1,5650
ord_qm_012,QM-HOU-0121-A,1,6900
ord_qm_012,QM-HOU-0126-A,1,7200
ord_qm_013,QM-HOU-0121-A,1,6900
ord_qm_013,QM-HOU-0126-A,1,7200
ord_qm_013,QM-PER-0151-A,1,8650
ord_qm_014,QM-HOU-0121-A,1,6900
ord_qm_014,QM-HOU-0126-A,1,7200
ord_qm_015,QM-PAN-0183-A,1,7550
ord_qm_015,QM-PAN-0181-A,1,7650
ord_qm_015,QM-PAN-0201-A,1,7350
ord_qm_016,QM-BEV-0047-A,1,3400
ord_qm_017,QM-BEV-0047-A,1,3400
ord_qm_018,QM-BEV-0047-A,1,3400
ord_qm_019,QM-BEV-0047-A,1,3400
ord_qm_020,QM-BEV-0047-A,1,3400
ord_qm_021,QM-SNK-0004-A,1,4100
ord_qm_021,QM-BEV-0034-A,2,6700
ord_qm_021,QM-HOU-0122-A,1,7200
ord_qm_022,QM-SNK-0019-A,1,4200
ord_qm_022,QM-SNK-0025-B,1,7550
ord_qm_022,QM-BEV-0034-A,2,6700
ord_qm_022,QM-BEV-0047-A,1,3400
ord_qm_023,QM-SNK-0004-A,2,8200
ord_qm_023,QM-SNK-0019-A,1,4200
ord_qm_023,QM-BEV-0031-B,1,5900
ord_qm_024,QM-FPR-0062-A,1,5450
ord_qm_024,QM-PAN-0182-A,1,7700
ord_qm_024,QM-BEV-0034-A,1,3350
ord_qm_025,QM-FPR-0064-A,1,5650
ord_qm_025,QM-PAN-0184-A,1,7650
ord_qm_025,QM-PER-0154-A,1,8450
ord_qm_026,QM-MTS-0092-A,1,21500
ord_qm_026,QM-HOU-0124-A,1,6500
ord_qm_026,QM-PET-0212-A,1,17300
ord_qm_027,QM-MTS-0094-A,1,21700
ord_qm_027,QM-HOU-0127-A,1,6950
ord_qm_027,QM-BAB-0242-A,1,11700
ord_qm_028,QM-SNK-0022-A,1,4500
ord_qm_028,QM-BEV-0034-B,1,5850
ord_qm_028,QM-PAN-0183-A,1,7300
ord_qm_029,QM-SNK-0022-A,1,4500
ord_qm_029,QM-BEV-0047-A,1,3500
ord_qm_029,QM-SNK-0004-B,1,7500
ord_qm_030,QM-FPR-0062-A,1,5650
ord_qm_030,QM-MTS-0092-A,1,20950
ord_qm_030,QM-BEV-0032-A,1,3200
ord_qm_031,QM-FPR-0065-A,1,5300
ord_qm_031,QM-MTS-0094-B,1,36500
ord_qm_031,QM-PAN-0184-A,1,7850
ord_qm_032,QM-PER-0153-A,1,8550
ord_qm_032,QM-PER-0158-A,1,8750
ord_qm_032,QM-HOU-0123-A,1,6500
ord_qm_033,QM-PER-0154-A,2,16900
ord_qm_033,QM-PER-0158-A,1,8750
ord_qm_033,QM-BEV-0052-A,1,3500
ord_qm_034,QM-PET-0213-A,1,16550
ord_qm_034,QM-PET-0214-A,1,16550
ord_qm_035,QM-PET-0218-A,1,17200
ord_qm_035,QM-PET-0214-A,1,16550
ord_qm_035,QM-PAN-0183-A,1,7300
ord_qm_036,QM-BAB-0243-A,1,10800
ord_qm_036,QM-BAB-0244-A,1,11400
ord_qm_036,QM-BEV-0032-A,1,3200
ord_qm_037,QM-BAB-0243-A,2,21600
ord_qm_037,QM-BAB-0244-A,1,11400
ord_qm_037,QM-PAN-0184-A,1,7850
ord_qm_038,QM-SNK-0022-A,1,4500
ord_qm_038,QM-BEV-0034-B,1,5850
ord_qm_038,QM-PER-0159-A,1,8100
ord_qm_039,QM-SNK-0004-B,1,7500
ord_qm_039,QM-BEV-0047-A,1,3500
ord_qm_039,QM-PER-0154-A,1,8450
