buyer_id,search_query,sku_id,event_type,occurred_at
buyer_qm_01,coffee,QM-BEV-0047-A,impression,2026-07-18T08:01:12+05:30
buyer_qm_01,coffee,QM-BEV-0048-A,impression,2026-07-18T08:01:12+05:30
buyer_qm_01,coffee,QM-BEV-0047-A,click,2026-07-18T08:01:28+05:30
buyer_qm_01,coffee,QM-BEV-0047-A,add_to_cart,2026-07-18T08:01:43+05:30
buyer_qm_01,chips,QM-SNK-0011-A,impression,2026-07-19T19:36:04+05:30
buyer_qm_01,chips,QM-SNK-0001-A,impression,2026-07-19T19:36:04+05:30
buyer_qm_01,chips,QM-SNK-0011-A,click,2026-07-19T19:36:20+05:30
buyer_qm_01,chips,QM-SNK-0011-A,add_to_cart,2026-07-19T19:36:35+05:30
buyer_qm_03,coffee,QM-BEV-0047-A,impression,2026-09-03T09:08:02+05:30
buyer_qm_03,coffee,QM-BEV-0048-A,impression,2026-09-03T09:08:02+05:30
buyer_qm_03,coffee,QM-BEV-0047-A,click,2026-09-03T09:08:18+05:30
buyer_qm_03,coffee,QM-BEV-0047-A,add_to_cart,2026-09-03T09:08:33+05:30
buyer_qm_02,toothpaste,QM-PER-0151-A,impression,2026-07-12T11:41:08+05:30
buyer_qm_02,toothpaste,QM-PER-0156-A,impression,2026-07-12T11:41:08+05:30
buyer_qm_02,toothpaste,QM-PER-0151-A,click,2026-07-12T11:41:24+05:30
buyer_qm_02,toothpaste,QM-PER-0151-A,add_to_cart,2026-07-12T11:41:39+05:30
buyer_qm_04,biscuits,QM-SNK-0004-A,impression,2026-08-03T17:58:04+05:30
buyer_qm_04,biscuits,QM-SNK-0019-A,impression,2026-08-03T17:58:04+05:30
buyer_qm_04,biscuits,QM-SNK-0004-A,click,2026-08-03T17:58:20+05:30
buyer_qm_04,biscuits,QM-SNK-0004-A,add_to_cart,2026-08-03T17:58:35+05:30
buyer_qm_04,soda,QM-BEV-0034-A,impression,2026-07-06T18:02:05+05:30
buyer_qm_04,soda,QM-BEV-0047-A,impression,2026-07-06T18:02:05+05:30
buyer_qm_04,soda,QM-BEV-0034-A,click,2026-07-06T18:02:21+05:30
buyer_qm_04,soda,QM-BEV-0034-A,add_to_cart,2026-07-06T18:02:36+05:30
buyer_qm_05,fresh fruit,QM-FPR-0064-A,impression,2026-07-19T11:48:06+05:30
buyer_qm_05,fresh fruit,QM-FPR-0062-A,impression,2026-07-19T11:48:06+05:30
buyer_qm_05,fresh fruit,QM-FPR-0064-A,click,2026-07-19T11:48:22+05:30
buyer_qm_05,fresh fruit,QM-FPR-0064-A,add_to_cart,2026-07-19T11:48:37+05:30
buyer_qm_05,rice,QM-PAN-0184-A,impression,2026-06-21T11:57:07+05:30
buyer_qm_05,rice,QM-PAN-0182-A,impression,2026-06-21T11:57:07+05:30
buyer_qm_05,rice,QM-PAN-0184-A,click,2026-06-21T11:57:23+05:30
buyer_qm_05,rice,QM-PAN-0184-A,add_to_cart,2026-06-21T11:57:38+05:30
buyer_qm_06,chicken,QM-MTS-0094-A,impression,2026-08-15T09:00:08+05:30
buyer_qm_06,chicken,QM-MTS-0092-A,impression,2026-08-15T09:00:08+05:30
buyer_qm_06,chicken,QM-MTS-0094-A,click,2026-08-15T09:00:24+05:30
buyer_qm_06,chicken,QM-MTS-0094-A,add_to_cart,2026-08-15T09:00:39+05:30
buyer_qm_07,nachos,QM-SNK-0022-A,impression,2026-07-17T18:20:09+05:30
buyer_qm_07,nachos,QM-SNK-0004-B,impression,2026-07-17T18:20:09+05:30
buyer_qm_07,nachos,QM-SNK-0022-A,click,2026-07-17T18:20:25+05:30
buyer_qm_07,nachos,QM-SNK-0022-A,add_to_cart,2026-07-17T18:20:40+05:30
buyer_qm_08,dinner,QM-MTS-0094-B,impression,2026-08-08T12:55:10+05:30
buyer_qm_08,dinner,QM-FPR-0065-A,impression,2026-08-08T12:55:10+05:30
buyer_qm_08,dinner,QM-MTS-0094-B,click,2026-08-08T12:55:26+05:30
buyer_qm_08,dinner,QM-MTS-0094-B,add_to_cart,2026-08-08T12:55:41+05:30
buyer_qm_09,bath soap,QM-PER-0154-A,impression,2026-08-20T09:45:11+05:30
buyer_qm_09,bath soap,QM-PER-0158-A,impression,2026-08-20T09:45:11+05:30
buyer_qm_09,bath soap,QM-PER-0154-A,click,2026-08-20T09:45:27+05:30
buyer_qm_09,bath soap,QM-PER-0154-A,add_to_cart,2026-08-20T09:45:42+05:30
buyer_qm_10,cat food,QM-PET-0218-A,impression,2026-08-01T19:45:12+05:30
buyer_qm_10,cat food,QM-PET-0214-A,impression,2026-08-01T19:45:12+05:30
buyer_qm_10,cat food,QM-PET-0218-A,click,2026-08-01T19:45:28+05:30
buyer_qm_10,cat food,QM-PET-0218-A,add_to_cart,2026-08-01T19:45:43+05:30
buyer_qm_11,baby oil,QM-BAB-0243-A,impression,2026-08-16T08:05:13+05:30
buyer_qm_11,baby oil,QM-BAB-0244-A,impression,2026-08-16T08:05:13+05:30
buyer_qm_11,baby oil,QM-BAB-0243-A,click,2026-08-16T08:05:29+05:30
buyer_qm_11,baby oil,QM-BAB-0243-A,add_to_cart,2026-08-16T08:05:44+05:30
buyer_qm_12,weekend snacks,QM-SNK-0004-B,impression,2026-08-29T15:40:14+05:30
buyer_qm_12,weekend snacks,QM-SNK-0022-A,impression,2026-08-29T15:40:14+05:30
buyer_qm_12,weekend snacks,QM-SNK-0004-B,click,2026-08-29T15:40:30+05:30
buyer_qm_12,weekend snacks,QM-SNK-0004-B,add_to_cart,2026-08-29T15:40:45+05:30
