sku_id,product_id,name,variant_label,net_quantity,net_unit,pack_count,gtin,lifecycle,storage_class,perishable,shelf_life_days,max_order_quantity,hsn_code,attributes_json
QM-SNK-0001-A,prd_qm_crispkettle_tea_biscuits_plain,Tea Biscuits Plain - standard pack,standard pack,100,g,1,8900000000000,active,ambient,false,540,12,1905,"{""source_product_id"":""prd_qm_crispkettle_tea_biscuits_plain"",""variant_type"":""standard"",""display_pack_size"":""100 g"",""storage"":""ambient""}"
QM-SNK-0001-B,prd_qm_crispkettle_tea_biscuits_plain,Tea Biscuits Plain - family pack,family pack,200,g,1,8900000000001,active,ambient,false,540,12,1905,"{""source_product_id"":""prd_qm_crispkettle_tea_biscuits_plain"",""variant_type"":""larger"",""display_pack_size"":""200 g"",""storage"":""ambient""}"
QM-SNK-0002-A,prd_qm_munchmitra_butter_shortbread_bites,Butter Shortbread Bites - standard pack,standard pack,100,g,1,8900000000010,active,ambient,false,540,12,1905,"{""source_product_id"":""prd_qm_munchmitra_butter_shortbread_bites"",""variant_type"":""standard"",""display_pack_size"":""100 g"",""storage"":""ambient""}"
QM-SNK-0002-B,prd_qm_munchmitra_butter_shortbread_bites,Butter Shortbread Bites - family pack,family pack,200,g,1,8900000000011,active,ambient,false,540,12,1905,"{""source_product_id"":""prd_qm_munchmitra_butter_shortbread_bites"",""variant_type"":""larger"",""display_pack_size"":""200 g"",""storage"":""ambient""}"
QM-SNK-0003-A,prd_qm_nibblenest_cocoa_cream_biscuits,Cocoa Cream Biscuits - standard pack,standard pack,100,g,1,8900000000020,active,ambient,false,540,12,1905,"{""source_product_id"":""prd_qm_nibblenest_cocoa_cream_biscuits"",""variant_type"":""standard"",""display_pack_size"":""100 g"",""storage"":""ambient""}"
QM-SNK-0003-B,prd_qm_nibblenest_cocoa_cream_biscuits,Cocoa Cream Biscuits - family pack,family pack,200,g,1,8900000000021,active,ambient,false,540,12,1905,"{""source_product_id"":""prd_qm_nibblenest_cocoa_cream_biscuits"",""variant_type"":""larger"",""display_pack_size"":""200 g"",""storage"":""ambient""}"
QM-SNK-0004-A,prd_qm_crispkettle_oat_crunch_cookies,Oat Crunch Cookies - standard pack,standard pack,100,g,1,8900000000030,active,ambient,false,540,12,1905,"{""source_product_id"":""prd_qm_crispkettle_oat_crunch_cookies"",""variant_type"":""standard"",""display_pack_size"":""100 g"",""storage"":""ambient""}"
QM-SNK-0004-B,prd_qm_crispkettle_oat_crunch_cookies,Oat Crunch Cookies - family pack,family pack,200,g,1,8900000000031,active,ambient,false,540,12,1905,"{""source_product_id"":""prd_qm_crispkettle_oat_crunch_cookies"",""variant_type"":""larger"",""display_pack_size"":""200 g"",""storage"":""ambient""}"
QM-SNK-0005-A,prd_qm_munchmitra_salted_cracker_squares,Salted Cracker Squares - standard pack,standard pack,100,g,1,8900000000040,active,ambient,false,540,12,1905,"{""source_product_id"":""prd_qm_munchmitra_salted_cracker_squares"",""variant_type"":""standard"",""display_pack_size"":""100 g"",""storage"":""ambient""}"
QM-SNK-0005-B,prd_qm_munchmitra_salted_cracker_squares,Salted Cracker Squares - family pack,family pack,200,g,1,8900000000041,active,ambient,false,540,12,1905,"{""source_product_id"":""prd_qm_munchmitra_salted_cracker_squares"",""variant_type"":""larger"",""display_pack_size"":""200 g"",""storage"":""ambient""}"
QM-SNK-0006-A,prd_qm_nibblenest_coconut_snap_biscuits,Coconut Snap Biscuits - standard pack,standard pack,100,g,1,8900000000050,active,ambient,false,540,12,1905,"{""source_product_id"":""prd_qm_nibblenest_coconut_snap_biscuits"",""variant_type"":""standard"",""display_pack_size"":""100 g"",""storage"":""ambient""}"
QM-SNK-0006-B,prd_qm_nibblenest_coconut_snap_biscuits,Coconut Snap Biscuits - family pack,family pack,200,g,1,8900000000051,active,ambient,false,540,12,1905,"{""source_product_id"":""prd_qm_nibblenest_coconut_snap_biscuits"",""variant_type"":""larger"",""display_pack_size"":""200 g"",""storage"":""ambient""}"
QM-SNK-0007-A,prd_qm_crispkettle_cardamom_tea_biscuits,Cardamom Tea Biscuits - standard pack,standard pack,100,g,1,8900000000060,active,ambient,false,540,12,1905,"{""source_product_id"":""prd_qm_crispkettle_cardamom_tea_biscuits"",""variant_type"":""standard"",""display_pack_size"":""100 g"",""storage"":""ambient""}"
QM-SNK-0007-B,prd_qm_crispkettle_cardamom_tea_biscuits,Cardamom Tea Biscuits - family pack,family pack,200,g,1,8900000000061,active,ambient,false,540,12,1905,"{""source_product_id"":""prd_qm_crispkettle_cardamom_tea_biscuits"",""variant_type"":""larger"",""display_pack_size"":""200 g"",""storage"":""ambient""}"
QM-SNK-0008-A,prd_qm_munchmitra_honey_oat_cookies,Honey Oat Cookies - standard pack,standard pack,100,g,1,8900000000070,active,ambient,false,540,12,1905,"{""source_product_id"":""prd_qm_munchmitra_honey_oat_cookies"",""variant_type"":""standard"",""display_pack_size"":""100 g"",""storage"":""ambient""}"
QM-SNK-0008-B,prd_qm_munchmitra_honey_oat_cookies,Honey Oat Cookies - family pack,family pack,200,g,1,8900000000071,active,ambient,false,540,12,1905,"{""source_product_id"":""prd_qm_munchmitra_honey_oat_cookies"",""variant_type"":""larger"",""display_pack_size"":""200 g"",""storage"":""ambient""}"
QM-SNK-0009-A,prd_qm_nibblenest_ragi_sesame_bites,Ragi Sesame Bites - standard pack,standard pack,100,g,1,8900000000080,active,ambient,false,540,12,1905,"{""source_product_id"":""prd_qm_nibblenest_ragi_sesame_bites"",""variant_type"":""standard"",""display_pack_size"":""100 g"",""storage"":""ambient""}"
QM-SNK-0009-B,prd_qm_nibblenest_ragi_sesame_bites,Ragi Sesame Bites - family pack,family pack,200,g,1,8900000000081,active,ambient,false,540,12,1905,"{""source_product_id"":""prd_qm_nibblenest_ragi_sesame_bites"",""variant_type"":""larger"",""display_pack_size"":""200 g"",""storage"":""ambient""}"
QM-SNK-0010-A,prd_qm_crispkettle_choco_chip_rounds,Choco Chip Rounds - standard pack,standard pack,100,g,1,8900000000090,active,ambient,false,540,12,1905,"{""source_product_id"":""prd_qm_crispkettle_choco_chip_rounds"",""variant_type"":""standard"",""display_pack_size"":""100 g"",""storage"":""ambient""}"
QM-SNK-0010-B,prd_qm_crispkettle_choco_chip_rounds,Choco Chip Rounds - family pack,family pack,200,g,1,8900000000091,active,ambient,false,540,12,1905,"{""source_product_id"":""prd_qm_crispkettle_choco_chip_rounds"",""variant_type"":""larger"",""display_pack_size"":""200 g"",""storage"":""ambient""}"
QM-SNK-0011-A,prd_qm_munchmitra_classic_potato_crisps,Classic Potato Crisps - standard pack,standard pack,100,g,1,8900000000100,active,ambient,false,540,12,1905,"{""source_product_id"":""prd_qm_munchmitra_classic_potato_crisps"",""variant_type"":""standard"",""display_pack_size"":""100 g"",""storage"":""ambient""}"
QM-SNK-0011-B,prd_qm_munchmitra_classic_potato_crisps,Classic Potato Crisps - family pack,family pack,200,g,1,8900000000101,active,ambient,false,540,12,1905,"{""source_product_id"":""prd_qm_munchmitra_classic_potato_crisps"",""variant_type"":""larger"",""display_pack_size"":""200 g"",""storage"":""ambient""}"
QM-SNK-0012-A,prd_qm_nibblenest_smoky_barbecue_crisps,Smoky Barbecue Crisps - standard pack,standard pack,100,g,1,8900000000110,active,ambient,false,540,12,1905,"{""source_product_id"":""prd_qm_nibblenest_smoky_barbecue_crisps"",""variant_type"":""standard"",""display_pack_size"":""100 g"",""storage"":""ambient""}"
QM-SNK-0012-B,prd_qm_nibblenest_smoky_barbecue_crisps,Smoky Barbecue Crisps - family pack,family pack,200,g,1,8900000000111,active,ambient,false,540,12,1905,"{""source_product_id"":""prd_qm_nibblenest_smoky_barbecue_crisps"",""variant_type"":""larger"",""display_pack_size"":""200 g"",""storage"":""ambient""}"
QM-SNK-0013-A,prd_qm_crispkettle_lime_chilli_crisps,Lime Chilli Crisps - standard pack,standard pack,100,g,1,8900000000120,active,ambient,false,540,12,1905,"{""source_product_id"":""prd_qm_crispkettle_lime_chilli_crisps"",""variant_type"":""standard"",""display_pack_size"":""100 g"",""storage"":""ambient""}"
QM-SNK-0013-B,prd_qm_crispkettle_lime_chilli_crisps,Lime Chilli Crisps - family pack,family pack,200,g,1,8900000000121,active,ambient,false,540,12,1905,"{""source_product_id"":""prd_qm_crispkettle_lime_chilli_crisps"",""variant_type"":""larger"",""display_pack_size"":""200 g"",""storage"":""ambient""}"
QM-SNK-0014-A,prd_qm_munchmitra_tomato_herb_crisps,Tomato Herb Crisps - standard pack,standard pack,100,g,1,8900000000130,active,ambient,false,540,12,1905,"{""source_product_id"":""prd_qm_munchmitra_tomato_herb_crisps"",""variant_type"":""standard"",""display_pack_size"":""100 g"",""storage"":""ambient""}"
QM-SNK-0014-B,prd_qm_munchmitra_tomato_herb_crisps,Tomato Herb Crisps - family pack,family pack,200,g,1,8900000000131,active,ambient,false,540,12,1905,"{""source_product_id"":""prd_qm_munchmitra_tomato_herb_crisps"",""variant_type"":""larger"",""display_pack_size"":""200 g"",""storage"":""ambient""}"
QM-SNK-0015-A,prd_qm_nibblenest_roasted_corn_puffs,Roasted Corn Puffs - standard pack,standard pack,100,g,1,8900000000140,active,ambient,false,540,12,1905,"{""source_product_id"":""prd_qm_nibblenest_roasted_corn_puffs"",""variant_type"":""standard"",""display_pack_size"":""100 g"",""storage"":""ambient""}"
QM-SNK-0015-B,prd_qm_nibblenest_roasted_corn_puffs,Roasted Corn Puffs - family pack,family pack,200,g,1,8900000000141,active,ambient,false,540,12,1905,"{""source_product_id"":""prd_qm_nibblenest_roasted_corn_puffs"",""variant_type"":""larger"",""display_pack_size"":""200 g"",""storage"":""ambient""}"
QM-SNK-0016-A,prd_qm_crispkettle_masala_lentil_rings,Masala Lentil Rings - standard pack,standard pack,100,g,1,8900000000150,active,ambient,false,540,12,1905,"{""source_product_id"":""prd_qm_crispkettle_masala_lentil_rings"",""variant_type"":""standard"",""display_pack_size"":""100 g"",""storage"":""ambient""}"
QM-SNK-0016-B,prd_qm_crispkettle_masala_lentil_rings,Masala Lentil Rings - family pack,family pack,200,g,1,8900000000151,active,ambient,false,540,12,1905,"{""source_product_id"":""prd_qm_crispkettle_masala_lentil_rings"",""variant_type"":""larger"",""display_pack_size"":""200 g"",""storage"":""ambient""}"
QM-SNK-0017-A,prd_qm_munchmitra_spiced_gram_sev,Spiced Gram Sev - standard pack,standard pack,100,g,1,8900000000160,active,ambient,false,540,12,1905,"{""source_product_id"":""prd_qm_munchmitra_spiced_gram_sev"",""variant_type"":""standard"",""display_pack_size"":""100 g"",""storage"":""ambient""}"
QM-SNK-0017-B,prd_qm_munchmitra_spiced_gram_sev,Spiced Gram Sev - family pack,family pack,200,g,1,8900000000161,active,ambient,false,540,12,1905,"{""source_product_id"":""prd_qm_munchmitra_spiced_gram_sev"",""variant_type"":""larger"",""display_pack_size"":""200 g"",""storage"":""ambient""}"
QM-SNK-0018-A,prd_qm_nibblenest_tangy_trail_mix,Tangy Trail Mix - standard pack,standard pack,100,g,1,8900000000170,active,ambient,false,540,12,1905,"{""source_product_id"":""prd_qm_nibblenest_tangy_trail_mix"",""variant_type"":""standard"",""display_pack_size"":""100 g"",""storage"":""ambient""}"
QM-SNK-0018-B,prd_qm_nibblenest_tangy_trail_mix,Tangy Trail Mix - family pack,family pack,200,g,1,8900000000171,active,ambient,false,540,12,1905,"{""source_product_id"":""prd_qm_nibblenest_tangy_trail_mix"",""variant_type"":""larger"",""display_pack_size"":""200 g"",""storage"":""ambient""}"
QM-SNK-0019-A,prd_qm_crispkettle_peanut_jaggery_brittle,Peanut Jaggery Brittle - standard pack,standard pack,100,g,1,8900000000180,active,ambient,false,540,12,1905,"{""source_product_id"":""prd_qm_crispkettle_peanut_jaggery_brittle"",""variant_type"":""standard"",""display_pack_size"":""100 g"",""storage"":""ambient""}"
QM-SNK-0019-B,prd_qm_crispkettle_peanut_jaggery_brittle,Peanut Jaggery Brittle - family pack,family pack,200,g,1,8900000000181,active,ambient,false,540,12,1905,"{""source_product_id"":""prd_qm_crispkettle_peanut_jaggery_brittle"",""variant_type"":""larger"",""display_pack_size"":""200 g"",""storage"":""ambient""}"
QM-SNK-0020-A,prd_qm_munchmitra_roasted_chana_mix,Roasted Chana Mix - standard pack,standard pack,100,g,1,8900000000190,active,ambient,false,540,12,1905,"{""source_product_id"":""prd_qm_munchmitra_roasted_chana_mix"",""variant_type"":""standard"",""display_pack_size"":""100 g"",""storage"":""ambient""}"
QM-SNK-0020-B,prd_qm_munchmitra_roasted_chana_mix,Roasted Chana Mix - family pack,family pack,200,g,1,8900000000191,active,ambient,false,540,12,1905,"{""source_product_id"":""prd_qm_munchmitra_roasted_chana_mix"",""variant_type"":""larger"",""display_pack_size"":""200 g"",""storage"":""ambient""}"
QM-SNK-0021-A,prd_qm_nibblenest_rice_crackle_sticks,Rice Crackle Sticks - standard pack,standard pack,100,g,1,8900000000200,active,ambient,false,540,12,1905,"{""source_product_id"":""prd_qm_nibblenest_rice_crackle_sticks"",""variant_type"":""standard"",""display_pack_size"":""100 g"",""storage"":""ambient""}"
QM-SNK-0021-B,prd_qm_nibblenest_rice_crackle_sticks,Rice Crackle Sticks - family pack,family pack,200,g,1,8900000000201,active,ambient,false,540,12,1905,"{""source_product_id"":""prd_qm_nibblenest_rice_crackle_sticks"",""variant_type"":""larger"",""display_pack_size"":""200 g"",""storage"":""ambient""}"
QM-SNK-0022-A,prd_qm_crispkettle_cheese_corn_nachos,Cheese Corn Nachos - standard pack,standard pack,100,g,1,8900000000210,active,ambient,false,540,12,1905,"{""source_product_id"":""prd_qm_crispkettle_cheese_corn_nachos"",""variant_type"":""standard"",""display_pack_size"":""100 g"",""storage"":""ambient""}"
QM-SNK-0022-B,prd_qm_crispkettle_cheese_corn_nachos,Cheese Corn Nachos - family pack,family pack,200,g,1,8900000000211,active,ambient,false,540,12,1905,"{""source_product_id"":""prd_qm_crispkettle_cheese_corn_nachos"",""variant_type"":""larger"",""display_pack_size"":""200 g"",""storage"":""ambient""}"
